train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,train/policy_loss,train/n_updates,train/entropy_loss,train/explained_variance,time/iterations,time/time_elapsed,train/learning_rate
0.356487512588501,-57.202795300000005,1000.0,108,10000,-0.6260075569152832,99,-1.1382942199707031,-5.960464477539062e-07,100,91,0.001
0.041555117815732956,-46.0381747,1000.0,108,20000,-0.24983036518096924,199,-1.3783860206604004,1.1920928955078125e-07,200,184,0.001
124.18631744384766,-50.568817025,742.9,109,30000,1.593977928161621,299,-0.37197884917259216,0.0,300,273,0.001
902.7686767578125,-55.83602504918033,651.4918032786885,110,40000,26.24810028076172,399,-0.914458692073822,0.0,400,362,0.001
2.095876698149368e-05,-55.87118394666667,657.96,111,50000,-0.0038646047469228506,499,-0.9766845107078552,0.0,500,450,0.001
0.020120400935411453,-50.88317690697674,693.0116279069767,111,60000,-0.16228507459163666,599,-1.2155168056488037,-1.1920928955078125e-07,600,540,0.001
135.2419891357422,-43.88629933333333,724.8645833333334,110,70000,6.392007350921631,699,-0.9249392747879028,-1.1920928955078125e-07,700,631,0.001
0.1622210294008255,-41.30022419000001,731.89,110,80000,-0.3745550215244293,799,-0.9900063276290894,5.960464477539063e-08,800,724,0.001
0.04481859505176544,-37.094394789999996,722.93,110,90000,-0.14848531782627106,899,-0.7019936442375183,0.0,900,816,0.001
3357.336669921875,-41.41689508,705.98,110,100000,-43.275482177734375,999,-0.8738647699356079,-8.189678192138672e-05,1000,907,0.001
