time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/approx_kl,rollout/ep_rew_mean,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/std,train/n_updates,train/value_loss,rollout/ep_len_mean,train/loss,train/learning_rate,train/entropy_loss
69,512,7,1,,,,,,,,,,,,,
58,1024,17,2,0.006324009,-50.943396,0.2,0.031640625,-0.004538035159930587,-0.03309333324432373,0.9988027215003967,10,1.3962567776441575,1000.0,0.48027729988098145,0.0001,-4.255484688282013
56,1536,27,3,0.0027626473,-50.943396,0.2,0.0015625,-0.0015963705081958324,0.08355951309204102,0.9983469843864441,20,1.100203561782837,1000.0,0.5035544037818909,0.0001,-4.252117490768432
54,2048,37,4,0.011226321,-52.683493999999996,0.2,0.0376953125,-0.007964722346514463,0.0008902549743652344,0.9988884925842285,30,0.7139127604663372,1000.0,0.3059699833393097,0.0001,-4.252514994144439
53,2560,47,5,0.009702276,-52.683493999999996,0.2,0.0490234375,-0.00888697215123102,0.10588639974594116,0.9989034533500671,40,0.7998404145240784,1000.0,0.36283016204833984,0.0001,-4.253677070140839
53,3072,57,6,0.006059205,-41.13325833333333,0.2,0.023046875,-0.002559399977326393,-0.00015723705291748047,0.998089075088501,50,1.5822849303483963,1000.0,0.7224894762039185,0.0001,-4.252574038505554
53,3584,67,7,0.005812282,-41.13325833333333,0.2,0.0212890625,-0.00335511639714241,0.04984766244888306,0.9982161521911621,60,1.1838600397109986,1000.0,0.38901400566101074,0.0001,-4.250902795791626
52,4096,77,8,0.013463683,-42.47201725,0.2,0.10078125,-0.011615051643457264,0.04664194583892822,0.9990641474723816,70,1.1026923045516015,1000.0,0.5159444808959961,0.0001,-4.252706408500671
51,4608,89,9,0.0094848825,-42.47201725,0.2,0.0302734375,-0.0071702308428939435,0.157911479473114,0.9988577961921692,80,0.9984208673238755,1000.0,0.2914332449436188,0.0001,-4.253900611400605
50,5120,101,10,0.0058009927,-47.957547,0.2,0.0109375,-0.002032118511851877,-0.10319399833679199,0.9980821013450623,90,0.7594921447336673,1000.0,0.37115535140037537,0.0001,-4.25250289440155
49,5632,113,11,0.003684401,-47.957547,0.2,0.003125,-0.00275348576833494,0.3436809182167053,0.9981615543365479,100,0.7668115183711052,1000.0,0.22114473581314087,0.0001,-4.250799214839935
49,6144,123,12,0.009883016,-52.59438033333333,0.2,0.034375,-0.006922256993129849,0.1451060175895691,0.9982158541679382,110,0.5540230713784695,1000.0,0.22156135737895966,0.0001,-4.25155383348465
50,6656,133,13,0.010645199,-52.59438033333333,0.2,0.0642578125,-0.006204637954942882,0.2750149965286255,0.9986257553100586,120,0.9911007210612297,1000.0,0.4431995451450348,0.0001,-4.251908409595489
50,7168,142,14,0.010841025,-53.833412571428575,0.2,0.045703125,-0.006223281263373792,0.18168652057647705,0.9989939332008362,130,0.27219789028167723,1000.0,0.046802133321762085,0.0001,-4.253353309631348
50,7680,152,15,0.0033647865,-53.833412571428575,0.2,0.0025390625,-0.0025769238476641477,0.12893599271774292,0.9984195828437805,140,1.8710544228553772,1000.0,0.653941810131073,0.0001,-4.252947580814362
50,8192,161,16,0.007140051,-55.586378874999994,0.2,0.0189453125,-0.0033547463885042817,0.22512084245681763,0.998426616191864,150,0.09804278574883937,1000.0,0.013072948902845383,0.0001,-4.252066886425018
50,8704,171,17,0.0005430246,-55.586378874999994,0.2,0.0,-0.00026906123384833335,0.16418474912643433,0.9982553124427795,160,1.1202596932649613,1000.0,0.5845869779586792,0.0001,-4.251849484443665
50,9216,180,18,0.0025899424,-55.84664822222222,0.2,0.0001953125,-0.0006608038791455328,-0.009955644607543945,0.9972004294395447,170,0.06283869177568704,1000.0,0.007393192499876022,0.0001,-4.250458824634552
50,9728,191,19,0.008632436,-55.84664822222222,0.2,0.033203125,-0.008887843531556427,0.060456156730651855,0.9966198801994324,180,2.7385038316249846,1000.0,1.0483286380767822,0.0001,-4.247226583957672
50,10240,201,20,0.0032230807,-52.0182558,0.2,0.0013671875,-0.0016488113207742572,0.17261409759521484,0.9962303042411804,190,5.732730865478516,1000.0,3.185366630554199,0.0001,-4.246016788482666
50,10752,211,21,0.0032767216,-52.0182558,0.2,0.0025390625,-0.002263149246573448,0.3237711191177368,0.9957959651947021,200,3.150931626558304,1000.0,1.1268655061721802,0.0001,-4.244880366325378
50,11264,221,22,0.005957417,-51.16888336363636,0.2,0.0142578125,-0.0026253087096847596,0.04305720329284668,0.9961268305778503,210,0.16981665963539855,1000.0,0.006186476908624172,0.0001,-4.244296681880951
50,11776,231,23,0.004310529,-51.16888336363636,0.2,0.00390625,-0.004124579264316708,0.30512523651123047,0.996589183807373,220,3.851320207118988,1000.0,1.4679412841796875,0.0001,-4.245794677734375
50,12288,241,24,0.001248709,-51.70457416666667,0.2,0.0,-0.0002104719984345138,-0.005015730857849121,0.996354877948761,230,0.1745424815802835,1000.0,0.007959696464240551,0.0001,-4.246364152431488
51,12800,250,25,0.0026484525,-51.70457416666667,0.2,0.0009765625,-0.0018354300584178418,0.2520902156829834,0.9959719181060791,240,3.0831587076187135,1000.0,1.5047484636306763,0.0001,-4.245177209377289
51,13312,260,26,0.0067890375,-51.75660323076923,0.2,0.011328125,-0.0017270048032514752,-0.01571786403656006,0.9946913719177246,250,0.15282241902314125,1000.0,0.0015372121706604958,0.0001,-4.243461573123932
51,13824,269,27,0.0016069564,-51.75660323076923,0.2,0.0,-0.0002982154604978859,0.16454780101776123,0.9941126704216003,260,1.4393138527870177,1000.0,0.6468690633773804,0.0001,-4.239344894886017
51,14336,279,28,0.005419607,-53.023383357142855,0.2,0.0072265625,-0.0014659706619568169,-0.13241493701934814,0.9934937357902527,270,0.08518849483807571,1000.0,-0.015973232686519623,0.0001,-4.238487315177918
51,14848,288,29,0.001121227,-53.023383357142855,0.2,0.000390625,-0.0017551431665197015,0.21647495031356812,0.9932596683502197,280,18.942299127578735,1000.0,5.662987232208252,0.0001,-4.236508798599243
51,15360,297,30,0.0026114052,-45.50877,0.2,0.0013671875,-0.0017230434343218804,0.3445017337799072,0.9928051829338074,290,2.5740941941738127,1000.0,0.8840138912200928,0.0001,-4.235952031612396
51,15872,307,31,0.00012011558,-45.50877,0.2,0.0,0.00013903254293836653,0.351965069770813,0.9924256801605225,300,4.941842663288116,1000.0,2.035963535308838,0.0001,-4.234237420558929
51,16384,317,32,0.0013092071,-43.488426875,0.2,0.0,-0.0009105540113523603,0.547066330909729,0.9923486709594727,310,2.5021109610795973,1000.0,1.3474794626235962,0.0001,-4.233685886859893
51,16896,326,33,0.0077484073,-43.488426875,0.2,0.0220703125,-0.005265511688776314,0.516497790813446,0.9922900795936584,320,3.6694118976593018,1000.0,1.2491878271102905,0.0001,-4.233613276481629
51,17408,336,34,0.013900606,-44.58906723529412,0.2,0.052734375,-0.004769358498742804,-0.8996485471725464,0.9916933178901672,330,0.1641406538663432,1000.0,0.0003827819600701332,0.0001,-4.232774138450623
51,17920,346,35,0.00956594,-44.58906723529412,0.2,0.0287109375,-0.004607302322983742,0.30749452114105225,0.9925093650817871,340,0.5144214041531086,1000.0,0.09975413978099823,0.0001,-4.23234612941742
51,18432,355,36,0.011490368,-46.61923433333333,0.2,0.0796875,-0.007284960127435625,-0.21624958515167236,0.9916338324546814,350,0.056032527377828954,1000.0,-0.00044172443449497223,0.0001,-4.233343946933746
51,18944,365,37,9.8333694e-05,-46.61923433333333,0.2,0.0,0.0005506815970875323,0.46638280153274536,0.9912972450256348,360,3.523556262254715,1000.0,1.514016032218933,0.0001,-4.230692517757416
51,19456,374,38,0.014818599,-46.743463684210525,0.2,0.0818359375,-0.006036867364309728,-0.0647287368774414,0.9910899996757507,370,0.07572772727580741,1000.0,-0.0021153087727725506,0.0001,-4.230333733558655
52,19968,383,39,0.0012808334,-46.743463684210525,0.2,0.0001953125,-0.0014574911445379257,0.19920754432678223,0.9906408786773682,380,1.9134096533060074,1000.0,0.6960771083831787,0.0001,-4.22914490699768
52,20480,393,40,0.011597276,-47.837663049999996,0.2,0.062890625,-0.005853272957028821,-0.06226146221160889,0.9903979897499084,390,0.06900723954313434,1000.0,-0.009558449499309063,0.0001,-4.228247737884521
52,20992,403,41,0.0040755826,-47.837663049999996,0.2,0.005859375,-0.004304400400724262,0.5057919025421143,0.9902462959289551,400,4.465691864490509,1000.0,2.5058112144470215,0.0001,-4.227336633205414
51,21504,413,42,0.00021505321,-47.01470557142857,0.2,0.0,-1.1622742749750615e-05,0.6030205190181732,0.9902544617652893,410,1.5961954429745675,1000.0,0.4911802113056183,0.0001,-4.2272844314575195
51,22016,423,43,0.00022662024,-46.01015877272727,0.2,0.0,-4.4458231423050164e-05,0.544710099697113,0.990011990070343,420,7.610802698135376,1000.0,3.6430163383483887,0.0001,-4.227024853229523
51,22528,433,44,0.0040746387,-46.01015877272727,0.2,0.005078125,-0.0021718560252338647,0.9359405487775803,0.9902299046516418,430,0.13537190470378846,1000.0,-0.00929513294249773,0.0001,-4.226980769634247
51,23040,443,45,0.0032867764,-47.15722308695652,0.2,0.0015625,-0.0013020952639635653,0.7813949733972549,0.9905428886413574,440,0.36436646841466425,1000.0,0.11224901676177979,0.0001,-4.227355563640595
51,23552,453,46,0.0108124,-47.15722308695652,0.2,0.0498046875,-0.008383692684583366,0.8068808764219284,0.991169273853302,450,0.6484043695032596,1000.0,0.19451600313186646,0.0001,-4.229188954830169
51,24064,463,47,0.0016179894,-47.489347333333335,0.2,0.000390625,-0.0013041400467045604,0.5661142766475677,0.9919397234916687,460,0.5481470778584481,1000.0,0.18149495124816895,0.0001,-4.230996453762055
51,24576,472,48,0.00076254737,-47.489347333333335,0.2,0.0009765625,-0.0005559214216191322,0.60421222448349,0.9920269846916199,470,2.0007863491773605,1000.0,0.6737754940986633,0.0001,-4.232823324203491
52,25088,482,49,0.006152419,-48.24749156,0.2,0.0125,-0.003637839067960158,0.590264230966568,0.9917460083961487,480,1.312144434452057,1000.0,0.6445927619934082,0.0001,-4.232355618476868
52,25600,491,50,0.002192154,-48.24749156,0.2,0.000390625,-0.0020626555080525575,0.564406543970108,0.9920846819877625,490,5.301386314630508,1000.0,2.306107997894287,0.0001,-4.2320719242095945
52,26112,501,51,0.0007001483,-47.08068219230769,0.2,0.0,-0.00012985426583327352,0.5530467927455902,0.9924629330635071,500,4.516892144083977,1000.0,1.8693723678588867,0.0001,-4.233369553089142
52,26624,510,52,0.0017452022,-47.08068219230769,0.2,0.0,-0.001175245817285031,0.812577947974205,0.9924066662788391,510,0.6924520213156938,1000.0,0.21808388829231262,0.0001,-4.234021854400635
52,27136,520,53,0.002474795,-48.07327162962964,0.2,0.0005859375,-0.0010914125188719482,0.05056482553482056,0.9926535487174988,520,0.4256012251600623,1000.0,0.08569759130477905,0.0001,-4.234021770954132
52,27648,530,54,0.0008671284,-48.07327162962964,0.2,0.0,-0.0005768144561443478,0.36303067207336426,0.9926413893699646,530,5.068152284622192,1000.0,2.105581521987915,0.0001,-4.234697210788727
52,28160,539,55,0.010170593,-47.5316315,0.2,0.037109375,-0.0066063977545127274,0.24509692192077637,0.9917004108428955,540,2.375709354877472,1000.0,1.3056851625442505,0.0001,-4.233476603031159
52,28672,548,56,0.0028808394,-47.5316315,0.2,0.00390625,-0.0038420124328695238,0.39179760217666626,0.9912881255149841,550,5.5650698184967045,1000.0,2.2056972980499268,0.0001,-4.230708265304566
52,29184,558,57,0.009602757,-47.54778213793104,0.2,0.0328125,-0.0029198061500210317,-0.026123404502868652,0.9907832741737366,560,0.10054122286383063,1000.0,0.00203606765717268,0.0001,-4.230215311050415
52,29696,567,58,0.008451289,-47.54778213793104,0.2,0.053515625,-0.005342890322208404,0.6410667300224304,0.9902089238166809,570,1.8960690319538116,1000.0,0.6825525760650635,0.0001,-4.227759552001953
52,30208,577,59,0.0014027668,-47.4943876,0.2,0.0,-0.0007872879272326827,0.4653956890106201,0.9907472729682922,580,1.5507689982652664,1000.0,0.6095518469810486,0.0001,-4.227674961090088
52,30720,587,60,0.0049425033,-47.4943876,0.2,0.0146484375,-0.0021584260161034764,0.5808962881565094,0.9909461140632629,590,4.525439286231995,1000.0,2.1746368408203125,0.0001,-4.229350817203522
52,31232,596,61,0.011319778,-46.278566129032264,0.2,0.0630859375,-0.004874972545076161,0.5958499312400818,0.9913172721862793,600,1.2998600825667381,1000.0,0.45549216866493225,0.0001,-4.229913997650146
52,31744,606,62,0.0014785457,-46.278566129032264,0.2,0.00078125,-0.0019304443441797048,0.6328475177288055,0.9912775158882141,610,4.568054181337357,1000.0,1.8786273002624512,0.0001,-4.230536794662475
52,32256,616,63,0.0082631,-46.47932040625,0.2,0.0166015625,-0.0018161480606067927,0.6684554815292358,0.9915604591369629,620,0.7239449329674243,1000.0,0.24171306192874908,0.0001,-4.230652332305908
52,32768,625,64,0.0017297685,-46.47932040625,0.2,0.0005859375,-0.0010600709705613554,0.6367713212966919,0.9911336302757263,630,4.836570218205452,1000.0,1.2795467376708984,0.0001,-4.23069783449173
52,33280,635,65,0.0004267617,-44.03611854545454,0.2,0.0,-0.0005021822638809681,0.5934341549873352,0.9909238815307617,640,14.190164828300476,1000.0,5.412961006164551,0.0001,-4.229548192024231
52,33792,644,66,0.00020572101,-44.03611854545454,0.2,0.0,-0.00018626853125169873,0.7668710649013519,0.9907937049865723,650,9.037630331516265,1000.0,3.9154701232910156,0.0001,-4.229094839096069
52,34304,654,67,0.0023777587,-41.944165029411764,0.2,0.00234375,-0.0008236416848376394,0.4460885524749756,0.990839958190918,660,0.526173809915781,1000.0,0.02711791731417179,0.0001,-4.2289060831069945
52,34816,663,68,0.006917259,-41.944165029411764,0.2,0.018359375,-0.004663348628673703,0.835700511932373,0.9908530712127686,670,3.0219697803258896,1000.0,0.965668797492981,0.0001,-4.229068887233734
52,35328,673,69,0.0062732887,-42.39565971428571,0.2,0.0353515625,-0.0028769845026545226,-0.39104771614074707,0.9909970164299011,680,0.13560101313050837,1000.0,-0.004924587905406952,0.0001,-4.22924040555954
52,35840,682,70,0.005966454,-42.39565971428571,0.2,0.0134765625,-0.005596070236060768,0.882503554224968,0.9908053278923035,690,1.694379949569702,1000.0,0.5942457318305969,0.0001,-4.229294872283935
52,36352,692,71,0.011396173,-42.60689138888889,0.2,0.05078125,-0.0033044348121620713,-0.1297907829284668,0.9889635443687439,700,0.06603796159615741,1000.0,-0.012150024995207787,0.0001,-4.227158296108246
52,36864,702,72,0.0073232125,-42.60689138888889,0.2,0.025,-0.004477484564995393,0.9522339664399624,0.9884741306304932,710,0.2691371878609061,1000.0,0.05472126603126526,0.0001,-4.222335851192474
52,37376,712,73,0.0050560115,-43.39024321621621,0.2,0.0080078125,-0.003774044010788202,0.8908216282725334,0.9883511662483215,720,0.19279757067561148,1000.0,0.04251578077673912,0.0001,-4.221731507778168
52,37888,721,74,0.005309198,-43.39024321621621,0.2,0.0078125,-0.004639887704979628,0.7327772080898285,0.9885135293006897,730,3.6988918364048002,1000.0,2.0603413581848145,0.0001,-4.22183221578598
52,38400,731,75,0.008253358,-43.384758342105265,0.2,0.0544921875,-0.0037112040736246854,-0.18029308319091797,0.9862325191497803,740,0.04262617821805179,1000.0,0.0001401444897055626,0.0001,-4.2200533747673035
52,38912,740,76,0.000117637566,-43.384758342105265,0.2,0.0,0.0007674345572013408,0.7552016526460648,0.9852903485298157,750,2.808397740125656,1000.0,0.8201640844345093,0.0001,-4.2130351066589355
52,39424,750,77,0.00048835005,-43.31762482051282,0.2,0.0,-0.00039439419051632283,0.761861652135849,0.9855827689170837,760,0.4151551011949778,1000.0,0.08433520793914795,0.0001,-4.212667870521545
52,39936,760,78,0.0011576633,-43.31762482051282,0.2,0.0009765625,-0.0009921207325533032,0.8989008292555809,0.9859182238578796,770,0.741083151102066,1000.0,0.16905954480171204,0.0001,-4.21369343996048
52,40448,769,79,0.0014829885,-43.295835275,0.2,0.0,-0.001809369749389589,0.4011836647987366,0.9858613014221191,780,3.428142860531807,1000.0,1.1584620475769043,0.0001,-4.214265930652618
52,40960,779,80,0.010764038,-43.295835275,0.2,0.076953125,-0.007245501701254398,0.9477432630956173,0.9854099154472351,790,0.1637888510711491,1000.0,0.06288240849971771,0.0001,-4.213402819633484
52,41472,789,81,0.00083708134,-43.84044904878049,0.2,0.0,-0.0006472500856034458,0.837824672460556,0.9854984283447266,800,0.5781169228255749,1000.0,0.21934139728546143,0.0001,-4.212631738185882
52,41984,798,82,0.00028000807,-43.84044904878049,0.2,0.0,-0.00022093037841841578,0.5925622880458832,0.9855010509490967,810,2.848677948117256,1000.0,1.6199231147766113,0.0001,-4.213083577156067
52,42496,808,83,0.00076718547,-43.9828380952381,0.2,0.0,-0.00024533639661967755,-1.766455888748169,0.9839863777160645,820,1.5448146045207978,1000.0,0.48283112049102783,0.0001,-4.2117982625961305
52,43008,817,84,0.0016795577,-43.15455195348838,0.2,0.0103515625,-0.0009517321013845503,-0.06267452239990234,0.983220100402832,830,14.215395188331604,1000.0,5.930511951446533,0.0001,-4.206626319885254
52,43520,826,85,0.004868072,-43.15455195348838,0.2,0.04375,-0.005238510761409998,0.29232263565063477,0.9836365580558777,840,0.22695717085152864,1000.0,0.008979959413409233,0.0001,-4.2064460754394535
52,44032,836,86,0.003260546,-43.624125522727276,0.2,0.024609375,-0.0012864234624430538,0.3733011484146118,0.9837362170219421,850,2.2564965069293974,1000.0,0.4100669324398041,0.0001,-4.207595694065094
52,44544,846,87,0.002486704,-43.624125522727276,0.2,0.0009765625,-0.0033946273382753135,0.8407768160104752,0.9822333455085754,860,0.6999017845839262,1000.0,0.13950341939926147,0.0001,-4.206138992309571
52,45056,856,88,0.0013087126,-42.16689562222223,0.2,0.0,-9.660602081567049e-05,0.7208552956581116,0.9815768599510193,870,15.999811697006226,1000.0,6.860748291015625,0.0001,-4.201555585861206
52,45568,866,89,0.003213778,-42.16689562222223,0.2,0.0037109375,-0.001217720506247133,0.817734882235527,0.9814621806144714,880,2.1946135714650152,1000.0,1.0737357139587402,0.0001,-4.200870537757874
52,46080,875,90,0.00011691172,-42.29319960869566,0.2,0.0,-0.00029711558017879723,0.4981541037559509,0.981604814529419,890,3.326457369327545,1000.0,1.055148959159851,0.0001,-4.20077919960022
52,46592,885,91,0.004503525,-43.88046334042554,0.2,0.0720703125,-0.005464637745171785,0.8435896039009094,0.981745719909668,900,1.2765534229576587,988.8085106382979,0.31441202759742737,0.0001,-4.201401233673096
52,47104,895,92,0.004548086,-43.88046334042554,0.2,0.007421875,-0.0049974778550677,-0.2183765172958374,0.9818114638328552,910,145.81009616851807,988.8085106382979,57.2025032043457,0.0001,-4.201574993133545
52,47616,905,93,0.0015586298,-44.158721229166666,0.2,0.0001953125,-0.0014846370468148962,0.35001492500305176,0.9819878935813904,920,1.2679533988237381,989.0416666666666,0.46338891983032227,0.0001,-4.201961994171143
52,48128,915,94,0.0021776988,-44.158721229166666,0.2,0.000390625,-0.0021228728932328523,0.8438046276569366,0.9815815091133118,930,3.4558523416519167,989.0416666666666,1.5835503339767456,0.0001,-4.201818251609803
52,48640,924,95,0.00019802724,-42.84374908163265,0.2,0.0,-6.005542818456888e-05,0.7623719424009323,0.9818508625030518,940,4.675284636020661,989.265306122449,1.2340714931488037,0.0001,-4.201076102256775
52,49152,934,96,0.0057953782,-42.84374908163265,0.2,0.008984375,-0.003617045353166759,0.826534166932106,0.9816165566444397,950,2.206483544409275,989.265306122449,0.6592550277709961,0.0001,-4.201755881309509
52,49664,943,97,0.00030359672,-42.44346573999999,0.2,0.0,-4.5498763211071494e-05,0.9211837500333786,0.9815850853919983,960,2.1240165382623672,989.48,0.618678867816925,0.0001,-4.200899648666382
52,50176,952,98,0.0024685888,-42.44346573999999,0.2,0.002734375,-0.001919470157008618,0.93309585750103,0.9813942313194275,970,0.9090110413730145,989.48,0.43444451689720154,0.0001,-4.200907301902771
52,50688,961,99,0.013884106,-44.36087756862744,0.2,0.091015625,-0.0025689800968393683,0.9544073306024075,0.9822246432304382,980,0.20216459343209864,984.156862745098,0.011795414611697197,0.0001,-4.201244914531708
52,51200,971,100,0.0062715574,-43.14468532692307,0.2,0.04375,-0.0002079204306937754,-0.27847039699554443,0.9829685688018799,990,170.56869888305664,984.4615384615385,137.5283203125,0.0001,-4.204480361938477
52,51712,981,101,0.0052369703,-43.14468532692307,0.2,0.01953125,-0.006060574681032449,0.6819048821926117,0.9830968976020813,1000,4.97833399772644,984.4615384615385,1.5724467039108276,0.0001,-4.2054824233055115
52,52224,990,102,0.0014965623,-42.5199667735849,0.2,0.0,-0.0014811033848673104,0.6014717221260071,0.9829748272895813,1010,9.160413944721222,984.7547169811321,4.192860126495361,0.0001,-4.205523180961609
