time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/approx_kl,train/clip_range,train/value_loss,train/n_updates,train/entropy_loss,train/explained_variance
169,1,24,4096,,,,,,,,,,,,
169,2,48,8192,-49.565209624999994,1000.0,0.4208017885684967,-0.008854650979628786,0.0879638671875,0.0003,0.010805682,0.2,0.9675128772854805,10,-1.6029205620288849,0.0019518136978149414
171,3,71,12288,-49.565209624999994,1000.0,0.46897056698799133,-0.00588577821617946,0.0662353515625,0.0003,0.011445391,0.2,0.9872967675328255,20,-1.5859921485185624,0.0811040997505188
170,4,95,16384,-35.9597835625,1000.0,0.5742079019546509,-0.007738744930247776,0.0857666015625,0.0003,0.011117433,0.2,1.1718426883220672,30,-1.5507165342569351,0.0004469156265258789
171,5,119,20480,-35.9597835625,1000.0,0.7857613563537598,-0.009892226970987395,0.14130859375,0.0003,0.01737198,0.2,1.6948610216379165,40,-1.4837845534086227,0.04724317789077759
171,6,143,24576,-31.053638250000002,1000.0,1.184944987297058,-0.007815605448558926,0.0706787109375,0.0003,0.016679814,0.2,2.7316677629947663,50,-1.4209535628557206,0.08057409524917603
171,7,167,28672,-31.053638250000002,1000.0,0.39569807052612305,-0.0007608819461893291,0.0,0.0003,0.0024725748,0.2,1.3163000598549843,60,-1.3904344230890273,0.46513640880584717
171,8,190,32768,-29.491097124999996,1000.0,1.2793515920639038,-0.0011938206560444086,0.0,0.0003,0.0015045524,0.2,3.378316617012024,70,-1.352186816930771,0.5776331424713135
171,9,215,36864,-29.491097124999996,1000.0,0.2397831678390503,-0.002427419228479266,0.0,0.0003,0.007605412,0.2,1.1069115057587624,80,-1.3084587067365647,0.7896491885185242
171,10,238,40960,-40.80776215,989.75,0.6769239902496338,-0.0028363184072077276,0.0,0.0003,0.0073112287,0.2,2.1334285497665406,90,-1.189776074886322,0.833511620759964
171,11,262,45056,-42.16034443902439,980.2439024390244,54.60564422607422,-0.0028714281070278957,0.0034912109375,0.0003,0.00088513125,0.2,100.9201732635498,100,-1.1344890624284745,0.016558468341827393
171,12,287,49152,-49.328942958333336,957.4375,5.9650750160217285,-0.003411413880530745,0.003564453125,0.0003,0.00074572465,0.2,19.713848805427553,110,-1.1397855639457704,0.4090961217880249
171,13,311,53248,-53.40348133333334,933.7777777777778,61.82660675048828,-0.0016289200284518301,0.0011962890625,0.0003,0.0007556917,0.2,101.54689645767212,120,-1.1462447315454483,0.3704351782798767
171,14,334,57344,-55.50994157142857,931.1428571428571,48.19664764404297,-0.0033360839413944634,0.0100341796875,0.0003,0.0009195639,0.2,88.31776638031006,130,-1.1533612221479417,0.41562438011169434
169,15,361,61440,-56.98272648437501,933.71875,24.304386138916016,-0.002562175749335438,0.00400390625,0.0003,0.0028558867,0.2,32.18990786075592,140,-1.136616235971451,0.5629204511642456
168,16,389,65536,-57.34071084848486,924.030303030303,41.92409133911133,-0.0008040923334192484,0.000830078125,0.0003,0.0008249887,0.2,69.73217849731445,150,-1.2155486583709716,0.5711345672607422
166,17,417,69632,-56.26771635616437,924.5616438356165,24.5295352935791,-0.0016032073297537863,0.00283203125,0.0003,0.0004469767,0.2,34.06609344482422,160,-1.1697651237249374,0.6338113248348236
166,18,442,73728,-55.88713336486486,925.581081081081,18.458890914916992,-0.0024384618474869056,0.0185791015625,0.0003,0.0033497803,0.2,50.98218569755554,170,-1.2459224998950957,0.6885905265808105
165,19,469,77824,-55.43722120987655,922.7777777777778,0.5330427289009094,-0.0018561561882961541,0.0349853515625,0.0003,0.0064513776,0.2,1.4859408661723137,180,-1.2519172817468642,0.9392767250537872
164,20,496,81920,-55.72802621686747,923.4216867469879,18.396018981933594,-0.001629527151817456,0.006640625,0.0003,0.0020504748,0.2,48.26199555397034,190,-1.2409695208072662,0.7113391160964966
163,21,524,86016,-53.60488358426967,928.5842696629213,6.059935569763184,-0.004041284069535323,0.0083251953125,0.0003,0.0025818897,0.2,15.298396635055543,200,-1.2136915862560271,0.7332796454429626
163,22,551,90112,-55.87914172043011,922.8709677419355,0.9989801645278931,-0.001323085546027869,0.0025146484375,0.0003,0.0007942632,0.2,2.0762951195240023,210,-1.162276926636696,0.9742855057120323
163,23,577,94208,-55.47551149484536,925.4226804123712,31.35348129272461,-0.0015447426296304912,0.0167236328125,0.0003,0.0053059626,0.2,58.225566959381105,220,-1.2734211415052414,0.6268954873085022
163,24,603,98304,-53.07504039,927.66,6.92263126373291,-0.000775510462699458,0.0007568359375,0.0003,0.0013977768,0.2,13.679214632511139,230,-1.1551133036613463,0.876649484038353
162,25,628,102400,-52.41523183999999,927.66,0.8455948829650879,-0.0018485040171071887,0.010888671875,0.0003,0.0040537044,0.2,1.993879148364067,240,-1.3066575884819032,0.965682178735733
162,26,654,106496,-52.984709589999994,924.95,0.3940202593803406,-0.0017576345388079062,0.0063720703125,0.0003,0.0024981454,0.2,1.0805945575237275,250,-1.1688185155391693,0.9863515691831708
162,27,681,110592,-53.05396591000002,924.95,16.173158645629883,-0.005286364955827594,0.0535888671875,0.0003,0.0055825165,0.2,28.186182069778443,260,-1.3184283435344697,0.8115188479423523
161,28,708,114688,-53.26802409999999,924.95,0.2475854903459549,-0.001135963760316372,0.009619140625,0.0003,0.0031569134,0.2,0.7045457929372787,270,-1.1426100164651871,0.9881528709083796
161,29,735,118784,-53.18734937,924.95,1.0248891115188599,-0.0004177284077741206,0.004833984375,0.0003,0.0015433701,0.2,2.7972543269395826,280,-1.2016233682632447,0.9509960375726223
161,30,762,122880,-52.88222855,924.95,0.30205416679382324,-0.00041263783641625195,0.00390625,0.0003,0.0005261569,0.2,0.7974410504102707,290,-1.1471418589353561,0.9828383196145296
161,31,787,126976,-52.94809541000001,924.95,0.6896843314170837,-0.0006663889915216714,0.0072021484375,0.0003,0.00091414666,0.2,1.5904011070728301,300,-1.3272068828344346,0.9737241826951504
161,32,812,131072,-48.77232922,928.85,0.41063156723976135,-0.0007027682557236403,0.00771484375,0.0003,0.0013253435,0.2,1.5424872398376466,310,-1.1346546590328217,0.9660957418382168
161,33,836,135168,-47.49645235,929.05,0.6086523532867432,-0.0019129024411085993,0.00166015625,0.0003,0.0023684483,0.2,1.5406791716814041,320,-1.2819741368293762,0.9784894045442343
161,34,859,139264,-44.44587343,939.8,0.36180806159973145,-0.0009030906017869711,0.00595703125,0.0003,0.00072096003,0.2,0.9353299528360367,330,-1.1469694405794144,0.9636698588728905
162,35,882,143360,-43.60798925,941.53,0.7893378734588623,-0.0019402004254516214,0.007568359375,0.0003,0.003944901,0.2,1.9614812552928924,340,-1.2652240604162217,0.9807109646499157
162,36,905,147456,-39.54586543,958.54,5.409234523773193,-0.0009347515122499316,0.0028564453125,0.0003,0.0013532247,0.2,13.787936264276505,350,-1.1666717827320099,0.7579537034034729
163,37,928,151552,-39.683658279999996,958.54,5.9813127517700195,-0.003109077183762565,0.008447265625,0.0003,0.0031228573,0.2,13.227995532751084,360,-1.1747840762138366,0.9006216078996658
163,38,952,155648,-35.769022029999995,963.99,0.286871999502182,-0.0006196752859978005,0.0001220703125,0.0003,0.00061675283,0.2,0.8258484452962875,370,-1.2422541379928589,0.9684349037706852
163,39,975,159744,-35.19239839,960.0,0.6454942226409912,-0.00036928256886312736,0.000439453125,0.0003,0.00042250808,0.2,2.1169492453336716,380,-1.1631210088729858,0.9693113993853331
164,40,998,163840,-32.33885402,969.78,5.888144493103027,-0.002329298769473098,0.0346923828125,0.0003,0.005086037,0.2,15.247169995307923,390,-1.194946077466011,0.7836368680000305
