time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/iterations,train/clip_range,train/approx_kl,train/loss,train/std,train/learning_rate,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss,train/value_loss
11,5932,495.28,-112.27996187000001,65536,1,,,,,,,,,,,
47,2757,591.54,-109.46835287000002,131072,2,0.18,0.004315882,2.7902207374572754,0.9930623769760132,0.0003,-0.0032764673233032227,10,-0.0006912467017173185,0.0453216552734375,-5.6583842527586965,65.10389284498524
83,2344,622.98,-108.00091875999999,196608,3,0.18,0.0041446034,6.362315654754639,0.991513192653656,0.0003,0.7509765923023224,20,-0.0007127915394448791,0.0627410888671875,-5.639690858824179,15.870275521627628
122,2135,727.74,-108.17336972,262144,4,0.18,0.0053103277,14.179951667785645,0.9835754632949829,0.0003,0.8609991371631622,30,0.0004650852188888166,0.08549652099609376,-5.616444062115624,12.999483239559776
164,1987,606.79,-105.27205360999999,327680,5,0.18,0.007794064,7.888959884643555,0.9827050566673279,0.0003,0.8938912227749825,40,0.00017761204469479708,0.1350799560546875,-5.561789562925696,15.019352048066503
206,1901,744.64,-102.88771383,393216,6,0.18,0.0077168075,2.4776346683502197,0.9792357683181763,0.0003,0.9100832715630531,50,-0.00029948433941626715,0.11817626953125,-5.577836919389665,24.2913564513874
249,1835,802.3,-100.32270817,458752,7,0.18,0.0073130047,21.699188232421875,0.9719303846359253,0.0003,0.9255533069372177,60,1.6143784478117595e-05,0.13309326171875,-5.5637254729866985,21.42882070823107
287,1821,775.26,-98.38911710999999,524288,8,0.18,0.008845405,0.07247414439916611,0.9528752565383911,0.0003,0.9185204654932022,70,-0.0002685258078940933,0.15308074951171874,-5.515257997019217,17.680201424132246
329,1791,714.33,-95.54827635999999,589824,9,0.18,0.007961873,28.478275299072266,0.9329719543457031,0.0003,0.9278039112687111,80,-0.0007282991560941809,0.1435699462890625,-5.430512717366218,20.182343155613488
368,1776,802.94,-91.55588202999999,655360,10,0.18,0.009197572,0.08215051889419556,0.9183281660079956,0.0003,0.9431024305522442,90,-0.0009119384205405368,0.14315032958984375,-5.347569770133123,19.438337000897445
408,1763,912.36,-86.17399877,720896,11,0.18,0.008523041,11.371970176696777,0.9065793752670288,0.0003,0.9256621822714806,100,0.0002000667923311994,0.13375244140625,-5.286980885174126,18.32260299482732
450,1745,983.81,-82.40681024999999,786432,12,0.18,0.007543563,13.546707153320312,0.8908478021621704,0.0003,0.9245657697319984,110,-0.00112048030312053,0.11294403076171874,-5.237526401365176,13.634363040308381
493,1727,896.38,-80.67261180999999,851968,13,0.18,0.007883301,22.204315185546875,0.8750930428504944,0.0003,0.9016544446349144,120,-0.0007161555494462846,0.110009765625,-5.152329412847758,16.239549747095587
535,1714,1006.89,-74.58815163999999,917504,14,0.18,0.007626932,0.37423470616340637,0.8657068014144897,0.0003,0.9271855130791664,130,-0.0009133144635939061,0.1239227294921875,-5.096884253853932,12.643154631038488
575,1709,862.11,-77.27541680000002,983040,15,0.18,0.0073444233,0.3344305753707886,0.8525573015213013,0.0003,0.9013549238443375,140,-0.0010271545745581534,0.12391204833984375,-5.033495732722804,12.211619863385568
611,1713,821.65,-75.08559236,1048576,16,0.18,0.008327615,9.157833099365234,0.8420870304107666,0.0003,0.9310000240802765,150,-0.0009681653348252439,0.12362823486328126,-4.990446822997183,13.84325687435412
650,1713,882.57,-68.63203719,1114112,17,0.18,0.008824626,5.223217010498047,0.8294117450714111,0.0003,0.9290132150053978,160,-0.0011845666917452036,0.1367431640625,-4.934107788139954,14.955887258332222
685,1719,888.17,-63.90840953,1179648,18,0.18,0.008159544,0.9226471781730652,0.8201444745063782,0.0003,0.9275181815028191,170,-0.0017879427767638844,0.13587188720703125,-4.872537327883765,12.02994209274184
724,1719,931.58,-57.191286420000004,1245184,19,0.18,0.009516508,0.12053172290325165,0.8045773506164551,0.0003,0.9242855533957481,180,-0.0016746835820640627,0.146160888671875,-4.831524769030511,14.649024252286472
762,1717,873.13,-53.428768399999996,1310720,20,0.18,0.008558042,17.91253662109375,0.791720986366272,0.0003,0.915412463247776,190,-0.0014805892113372466,0.1433349609375,-4.755237271543592,18.050181247667933
802,1715,827.65,-50.944163669999995,1376256,21,0.18,0.008269103,2.3261592388153076,0.7805193066596985,0.0003,0.9271019101142883,200,-0.0012142112864239607,0.136083984375,-4.703398635843769,14.214673737784324
841,1713,940.21,-39.910861610000005,1441792,22,0.18,0.008940397,11.175708770751953,0.7656030654907227,0.0003,0.9243188723921776,210,-0.0005541167771298206,0.143572998046875,-4.630084402300417,16.941731500554305
885,1702,1009.77,-29.906538779999995,1507328,23,0.18,0.00911363,13.846810340881348,0.7552394866943359,0.0003,0.9104023203253746,220,-0.00042241493976007404,0.135357666015625,-4.556148561323061,19.921052545445853
928,1693,1043.33,-14.84040206,1572864,24,0.18,0.008969758,5.762479305267334,0.7457864284515381,0.0003,0.8890176489949226,230,-0.00047544977338702664,0.13551025390625,-4.512800995120779,21.051117630116643
969,1690,1047.59,-16.17663505,1638400,25,0.18,0.008295109,3.4256715774536133,0.7335002422332764,0.0003,0.8961249962449074,240,0.00033366814486726073,0.13520660400390624,-4.447860899567604,18.63845082988555
1007,1691,952.45,-21.3116214,1703936,26,0.18,0.007959468,15.007132530212402,0.7243742346763611,0.0003,0.896731473505497,250,0.00047828384851982263,0.1316802978515625,-4.388855732651427,25.363811961372267
