time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/clip_fraction,train/clip_range,train/learning_rate,train/value_loss,train/n_updates,rollout/ep_rew_mean,train/entropy_loss,rollout/ep_len_mean,train/policy_gradient_loss,train/explained_variance,train/std,train/loss,train/approx_kl
314,56,17920,35,0.1205078125,0.2,0.0002,0.32216597739607095,340,-54.402991647058826,-4.160128271579742,1000.0,-0.014955157181248069,0.9243694394826889,0.9676482677459717,0.06363491714000702,0.017809235
322,57,18432,36,0.0986328125,0.2,0.0002,0.46571364514529706,350,-55.08430694444444,-4.155753290653228,1000.0,-0.010474784183315933,0.6203233897686005,0.9673330783843994,0.03661201149225235,0.012758265
331,57,18944,37,0.1484375,0.2,0.0002,0.3320088744163513,360,-55.08430694444444,-4.155015087127685,1000.0,-0.014847005205228924,0.8433645367622375,0.9663079977035522,0.038318391889333725,0.006637442
340,57,19456,38,0.1310546875,0.2,0.0002,0.29829174242913725,370,-55.57528084210526,-4.153979480266571,1000.0,-0.006452858727425337,0.6285571753978729,0.9675211906433105,0.07955160737037659,0.008402874
349,57,19968,39,0.15703125,0.2,0.0002,0.11950854379683733,380,-55.57528084210526,-4.156886720657349,1000.0,-0.01257091541774571,0.8965133056044579,0.9672189950942993,0.010930947959423065,0.014606254
358,57,20480,40,0.1515625,0.2,0.0002,0.560636094212532,390,-56.200772099999995,-4.155643796920776,1000.0,-0.0070238914457149805,0.5366353392601013,0.9674311876296997,0.06462547928094864,0.00637245
367,57,20992,41,0.2287109375,0.2,0.0002,0.3863253310322762,400,-56.200772099999995,-4.1564259886741635,1000.0,-0.016642608284018933,0.7930925339460373,0.9673022031784058,0.06774306297302246,0.015838288
377,57,21504,42,0.06796875,0.2,0.0002,0.15718955732882023,410,-56.857878190476185,-4.152775990962982,1000.0,-0.00861874776892364,0.7664900571107864,0.9650682806968689,0.03345474973320961,0.0051807445
385,57,22016,43,0.0994140625,0.2,0.0002,0.34742995277047156,420,-57.38044872727273,-4.146597945690155,1000.0,-0.01058979518711567,0.611144483089447,0.9634308815002441,0.021033305674791336,0.008165541
394,57,22528,44,0.121875,0.2,0.0002,0.3985920466482639,430,-57.38044872727273,-4.143374347686768,1000.0,-0.004880771227180958,0.4590941071510315,0.963430643081665,0.05473081022500992,0.006645858
402,57,23040,45,0.1994140625,0.2,0.0002,1.613251432776451,440,-57.01519408695652,-4.142940890789032,1000.0,-0.0028491796692833304,-0.19275665283203125,0.9625667333602905,0.23517344892024994,0.012370459
412,57,23552,46,0.096875,0.2,0.0002,0.49948132671415807,450,-57.01519408695652,-4.1395151019096375,1000.0,-0.008937720838002861,0.5668578743934631,0.9614020586013794,0.1070890873670578,0.007090383
422,56,24064,47,0.084765625,0.2,0.0002,0.2761484198272228,460,-57.768268,-4.136384999752044,1000.0,-0.0066639469936490055,0.27332884073257446,0.960753858089447,0.07897111028432846,0.0088902945
430,57,24576,48,0.1638671875,0.2,0.0002,0.2240242650732398,470,-57.768268,-4.136267554759979,1000.0,-0.012590302643366158,0.8083482682704926,0.9616686105728149,0.033786848187446594,0.0077337967
439,57,25088,49,0.2673828125,0.2,0.0002,3.7328453183174135,480,-55.90804924,-4.137012326717377,1000.0,0.0009687989950180054,0.23369568586349487,0.9608098268508911,1.2507410049438477,0.015180982
447,57,25600,50,0.209375,0.2,0.0002,2.2438377171754835,490,-55.90804924,-4.134487426280975,1000.0,-0.007511826360132545,0.38480865955352783,0.960586428642273,0.5729221105575562,0.020857368
455,57,26112,51,0.1333984375,0.2,0.0002,0.6126999743282795,500,-56.14701703846154,-4.134033942222596,1000.0,0.0007579006254673004,-1.5711567401885986,0.9603724479675293,0.15623366832733154,0.013849882
465,57,26624,52,0.1435546875,0.2,0.0002,0.43547406010329726,510,-56.14701703846154,-4.133941650390625,1000.0,-0.005570077942684293,0.7703331112861633,0.9605504870414734,0.08607374876737595,0.009317795
474,57,27136,53,0.154296875,0.2,0.0002,0.5032239019870758,520,-56.11986874074074,-4.137596356868744,1000.0,-0.006081352254841477,0.26367807388305664,0.9631713628768921,0.06256650388240814,0.007157169
483,57,27648,54,0.1328125,0.2,0.0002,0.5376828458160162,530,-56.11986874074074,-4.14032872915268,1000.0,-0.015020599099807441,0.6996244192123413,0.9612343311309814,0.13410161435604095,0.017591037
492,57,28160,55,0.1373046875,0.2,0.0002,0.8632675856351852,540,-56.051247464285716,-4.134401774406433,1000.0,-0.014553810050711036,0.5085127055644989,0.9601529836654663,0.31224480271339417,0.013483185
501,57,28672,56,0.1580078125,0.2,0.0002,0.3305041749030352,550,-56.051247464285716,-4.135604655742645,1000.0,-0.020215284312143922,0.8919987007975578,0.9625272750854492,0.022662535309791565,0.0144395195
510,57,29184,57,0.1142578125,0.2,0.0002,1.2853922799229622,560,-56.263249724137935,-4.141975092887878,1000.0,-0.003203348384704441,0.5905592739582062,0.9640509486198425,0.27704504132270813,0.0049935854
519,57,29696,58,0.1357421875,0.2,0.0002,0.6788891188800334,570,-56.263249724137935,-4.145531690120697,1000.0,-0.014649525843560695,0.6753648519515991,0.9647576212882996,0.12875106930732727,0.014726449
529,57,30208,59,0.15546875,0.2,0.0002,0.5344954270869493,580,-56.2151173,-4.141307079792023,1000.0,-0.017307720577809958,0.5497963130474091,0.9606162309646606,0.06675204634666443,0.016841814
537,57,30720,60,0.1822265625,0.2,0.0002,0.5659159645438194,590,-56.2151173,-4.130913031101227,1000.0,-0.00875116945244372,0.7520577013492584,0.9597928524017334,0.08385657519102097,0.00783293
546,57,31232,61,0.1427734375,0.2,0.0002,0.18349948450922965,600,-56.85156567741936,-4.1309543490409855,1000.0,-0.009723461652174591,0.05227005481719971,0.9594938158988953,0.01617710292339325,0.010280377
556,57,31744,62,0.198046875,0.2,0.0002,0.3493986755609512,610,-56.85156567741936,-4.129765141010284,1000.0,-0.009105339483357965,0.7876398861408234,0.9591237902641296,0.029753506183624268,0.018687014
565,57,32256,63,0.179296875,0.2,0.0002,0.19141764622181653,620,-57.22945734375,-4.131393921375275,1000.0,-0.016622187569737434,0.5214128792285919,0.961105227470398,0.04696134477853775,0.013886469
574,57,32768,64,0.130078125,0.2,0.0002,0.45775833949446676,630,-57.22945734375,-4.134904253482818,1000.0,-0.017919831327162683,0.7704606652259827,0.9601706266403198,0.03823672980070114,0.010656374
583,57,33280,65,0.2431640625,0.2,0.0002,1.5489248663187027,640,-56.94175233333333,-4.12993198633194,1000.0,-0.00958664200734347,0.255959689617157,0.9596481323242188,0.5666003823280334,0.017840678
592,57,33792,66,0.2244140625,0.2,0.0002,0.39358303360641,650,-56.94175233333333,-4.130116963386536,1000.0,-0.020259302342310548,0.8154520094394684,0.959221363067627,0.019949816167354584,0.022268172
601,57,34304,67,0.2060546875,0.2,0.0002,1.9044026404619216,660,-56.567674558823526,-4.128749072551727,1000.0,-0.011005982663482428,0.22946643829345703,0.9594335556030273,0.5851278305053711,0.0170736
610,57,34816,68,0.1115234375,0.2,0.0002,1.5632089599967003,670,-56.567674558823526,-4.12951169013977,1000.0,-0.01735754805849865,0.7168695032596588,0.9595584273338318,0.6323738694190979,0.010430328
619,56,35328,69,0.2056640625,0.2,0.0002,0.5603482685983181,680,-55.827367685714286,-4.12890487909317,1000.0,-0.002134002884849906,-0.8315354585647583,0.9593490362167358,0.15939325094223022,0.012732634
629,56,35840,70,0.214453125,0.2,0.0002,0.6769206151366234,690,-55.827367685714286,-4.129632818698883,1000.0,-0.02082697069272399,0.6299759149551392,0.9599370956420898,0.1175515279173851,0.016104642
637,56,36352,71,0.20625,0.2,0.0002,0.8721732385456562,700,-55.34790061111111,-4.128183829784393,1000.0,-0.02022271454334259,0.5205991864204407,0.9580349922180176,0.22916580736637115,0.02415331
646,57,36864,72,0.2376953125,0.2,0.0002,0.5809219747781753,710,-55.34790061111111,-4.12334657907486,1000.0,-0.020442071743309496,0.6216442883014679,0.9569900035858154,0.13544893264770508,0.019074664
655,57,37376,73,0.1974609375,0.2,0.0002,0.8984296321868896,720,-55.553713108108106,-4.121708261966705,1000.0,-0.016878842771984637,0.12257832288742065,0.9572415351867676,0.4214375913143158,0.012272205
665,56,37888,74,0.1173828125,0.2,0.0002,0.6634993001818656,730,-55.553713108108106,-4.12252801656723,1000.0,-0.01264830941800028,0.6125931441783905,0.957125186920166,0.2811466455459595,0.012616467
