time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/entropy_loss,train/loss,rollout/ep_rew_mean,train/policy_gradient_loss,train/approx_kl,rollout/ep_len_mean,train/learning_rate,train/n_updates,train/explained_variance,train/clip_range,train/value_loss,train/clip_fraction
1,29,4096,137,,,,,,,,,,,,
2,64,8192,127,-1.598889858648181,0.3160712420940399,-49.867177,-0.011551653155765961,0.013108347,1000.0,0.0002,10,0.013639330863952637,0.2,0.850256731826812,0.119189453125
3,98,12288,124,-1.565273018553853,0.2312055379152298,-49.867177,-0.009945358327240684,0.010909054,1000.0,0.0002,20,0.07869291305541992,0.2,0.630556620657444,0.1586181640625
4,133,16384,122,-1.540896011888981,0.2933276891708374,-37.8666774375,-0.012487512858933769,0.012588847,1000.0,0.0002,30,0.08191388845443726,0.2,0.7936922644264996,0.1810546875
5,168,20480,121,-1.5049593083560466,0.20815634727478027,-37.8666774375,-0.013333613016584422,0.015239688,1000.0,0.0002,40,0.06789517402648926,0.2,0.5937365050427615,0.1799560546875
6,203,24576,120,-1.464631036296487,0.3326154351234436,-28.108894250000002,-0.013713681325316428,0.013747118,1000.0,0.0002,50,0.3196483850479126,0.2,1.0195895191282034,0.1016357421875
7,237,28672,120,-1.435934592783451,0.12567217648029327,-28.108894250000002,-0.013759463714086451,0.020261895,1000.0,0.0002,60,0.6286002695560455,0.2,0.4724877771921456,0.2353759765625
8,271,32768,120,-1.4205634083598853,0.07209751009941101,-28.86345746875,-0.0032140418727067297,0.02523172,1000.0,0.0002,70,0.7791840136051178,0.2,0.4997403548099101,0.135888671875
9,305,36864,120,-1.4067553646862507,0.1523156762123108,-28.86345746875,-0.005837180705566425,0.03228246,1000.0,0.0002,80,0.8846222311258316,0.2,0.4006294104969129,0.0867431640625
10,339,40960,120,-1.451397332921624,0.043767936527729034,-27.264676974999997,-0.004086719098268077,0.026819985,1000.0,0.0002,90,0.895756833255291,0.2,0.3326685518724844,0.180712890625
11,373,45056,120,-1.394933369755745,0.15079355239868164,-27.264676974999997,-0.006224813776498195,0.043690655,1000.0,0.0002,100,0.9586997665464878,0.2,0.47035097547341137,0.1677001953125
12,409,49152,119,-1.472367761656642,0.06425301730632782,-24.533717979166667,-0.0076201058778679,0.0106583955,1000.0,0.0002,110,0.9536101296544075,0.2,0.3533645724179223,0.0911376953125
13,445,53248,119,-1.303786824643612,0.1867978423833847,-24.533717979166667,-0.01136486086761579,0.015483809,1000.0,0.0002,120,0.9686424396932125,0.2,0.5829040516167879,0.183544921875
14,480,57344,119,-1.4656038202345372,0.07767104357481003,-23.48910205357143,-0.0017698615178233013,0.005271054,1000.0,0.0002,130,0.9835661370307207,0.2,0.07720350556555786,0.0972412109375
15,515,61440,119,-1.2738919012248515,0.3135761618614197,-23.48910205357143,-0.007312375050969422,0.018445078,1000.0,0.0002,140,0.9850024469196796,0.2,0.6692112530581653,0.2135009765625
16,551,65536,118,-1.3999397162348033,-0.0087343230843544,-22.978118984375,-0.004333026030508336,0.009496695,1000.0,0.0002,150,0.9812397845089436,0.2,0.05583392449188977,0.174951171875
17,588,69632,118,-1.1993993803858758,0.19605544209480286,-22.978118984375,-0.01153614736685995,0.027399892,1000.0,0.0002,160,0.9856455298140645,0.2,0.8051205318421125,0.1877685546875
18,624,73728,117,-1.3649324920028447,0.00728614442050457,-22.49102152777778,-0.007653321736142971,0.010468174,1000.0,0.0002,170,0.9462197944521904,0.2,0.04049554890589206,0.0950439453125
19,661,77824,117,-1.1408471785485745,0.955044686794281,-22.49102152777778,-8.257839363068343e-06,0.011738409,1000.0,0.0002,180,0.9691364485770464,0.2,1.42005345672369,0.073828125
20,697,81920,117,-1.3106327179819346,0.10778558999300003,-20.4552914625,-0.004535182719700969,0.014006479,1000.0,0.0002,190,0.940813485532999,0.2,0.1554990935663227,0.08916015625
21,734,86016,117,-1.0072652099654078,0.5580873489379883,-20.4552914625,-0.008343562818481587,0.010504635,1000.0,0.0002,200,0.9370084553956985,0.2,4.724723733775318,0.0861328125
22,771,90112,116,-1.1536105576902629,0.3510705232620239,-6.393818590909091,-0.0014612243016017602,0.0138186775,1000.0,0.0002,210,0.9346272200345993,0.2,3.4186416883021593,0.077734375
23,809,94208,116,-0.9121701976284384,2.5943357944488525,-6.393818590909091,-0.0023186231614090503,0.009164608,1000.0,0.0002,220,0.9363573864102364,0.2,7.314525381103158,0.065185546875
24,847,98304,115,-1.1896658543497325,1.1217288970947266,13.015045479166666,-0.0028425136813893916,0.017503083,1000.0,0.0002,230,0.9140060767531395,0.2,9.497987196594476,0.1324462890625
