time/time_elapsed,time/iterations,time/fps,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/approx_kl,train/value_loss,train/loss,train/learning_rate,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/explained_variance
0,1,3389,20.76530612244898,2048,20.76530612244898,,,,,,,,,,
2,2,1826,24.99,4096,24.99,0.009842325,47.14486549794674,6.892915725708008,0.0003,10,-0.6857556564733386,-0.017146184071316385,0.2,0.116162109375,0.0002638697624206543
3,3,1581,33.52,6144,33.52,0.010165604,31.391119837760925,10.26465129852295,0.0003,20,-0.6662958070635796,-0.014938435847579968,0.2,0.0626953125,0.10303592681884766
5,4,1487,44.58,8192,44.58,0.007531965,50.631532597541806,15.96031665802002,0.0003,30,-0.6360475791618228,-0.017749995143094565,0.2,0.073779296875,0.20395570993423462
7,5,1444,57.69,10240,57.69,0.010186151,56.621590447425845,26.30648422241211,0.0003,40,-0.6064480815082789,-0.0197666163687245,0.2,0.087060546875,0.36917734146118164
8,6,1409,70.1,12288,70.1,0.0078977775,59.05825899839401,14.374306678771973,0.0003,50,-0.5921122632920742,-0.017550880837370643,0.2,0.087939453125,0.4425981640815735
10,7,1386,88.7,14336,88.7,0.010902604,49.49545015096665,10.69638442993164,0.0003,60,-0.5878769148141145,-0.013164192458498291,0.2,0.10380859375,0.6024073958396912
11,8,1370,107.8,16384,107.8,0.004426076,46.476851525902745,6.869218349456787,0.0003,70,-0.5841258579865098,-0.0059403241029940546,0.2,0.0212890625,0.5629808008670807
13,9,1363,122.84,18432,122.84,0.007357741,33.82778870463371,9.36522102355957,0.0003,80,-0.5896300988271832,-0.005906331406731624,0.2,0.07763671875,0.7944411188364029
15,10,1352,139.08,20480,139.08,0.0042223986,51.59454273879528,17.12965202331543,0.0003,90,-0.5658177532255649,-0.005549580990918912,0.2,0.031005859375,0.6451547145843506
16,11,1340,158.49,22528,158.49,0.004597358,12.975113731250167,0.5770502090454102,0.0003,100,-0.5676582153886557,-0.004424369771732018,0.2,0.02021484375,0.9346964359283447
18,12,1333,175.35,24576,175.35,0.009821251,8.547023640759289,0.6660804152488708,0.0003,110,-0.5657447181642056,-0.00982829452768783,0.2,0.08466796875,0.967542938888073
20,13,1331,189.56,26624,189.56,0.0036683478,84.43785924315452,44.73833465576172,0.0003,120,-0.5474673012271524,-0.008320075515075586,0.2,0.032763671875,0.5837884843349457
21,14,1324,211.77,28672,211.77,0.015816733,25.74453138485551,11.115045547485352,0.0003,130,-0.5471503797918558,-0.012997362036549021,0.2,0.14814453125,0.8588788211345673
23,15,1319,226.5,30720,226.5,0.012488298,2.3316400442505256,0.1952214241027832,0.0003,140,-0.5267413909547031,-0.0069684270609286615,0.2,0.0919921875,0.9736863113939762
24,16,1317,243.52,32768,243.52,0.0021391723,143.4727175951004,51.731990814208984,0.0003,150,-0.49474639259278774,-0.006618805495963898,0.2,0.01474609375,0.021725714206695557
26,17,1316,259.41,34816,259.41,0.0050253533,8.206593875586986,0.26546570658683777,0.0003,160,-0.4895765043795109,-0.003680138762865681,0.2,0.023486328125,0.7529521137475967
28,18,1314,276.4,36864,276.4,0.0073429146,1.7049931986257434,0.11991269886493683,0.0003,170,-0.4806293733417988,-0.006102823950641323,0.2,0.0751953125,0.5624993145465851
29,19,1310,297.8,38912,297.8,0.0073946035,2.244980201404542,0.530337393283844,0.0003,180,-0.4879881963133812,-0.012202320807409706,0.2,0.085498046875,0.9066453874111176
31,20,1307,313.35,40960,313.35,0.0048357947,0.6585272976430133,0.04845808446407318,0.0003,190,-0.46746232751756905,-0.004378252630704083,0.2,0.031591796875,0.3772626519203186
32,21,1307,329.41,43008,329.41,0.00815174,0.24361843855585902,0.000889800488948822,0.0003,200,-0.4625800123438239,-0.010297417088440852,0.2,0.121435546875,0.29388612508773804
34,22,1304,346.81,45056,346.81,0.0047726883,0.12294117145502241,-0.004539490677416325,0.0003,210,-0.45014512063935397,-0.0022109255907707846,0.2,0.030712890625,-0.07434296607971191
36,23,1302,362.17,47104,362.17,0.0015954043,0.08227893052244326,0.0008743051439523697,0.0003,220,-0.4309197192080319,-0.0010273100881022402,0.2,0.02041015625,0.020061731338500977
37,24,1301,375.85,49152,375.85,0.0059235087,0.05437763944355538,0.012540926225483418,0.0003,230,-0.4414664880372584,-0.0021534330691793,0.2,0.05634765625,-0.07589709758758545
39,25,1301,390.94,51200,390.94,0.0050519854,0.033386503854126205,0.017274294048547745,0.0003,240,-0.4081654934212565,-0.0015719373630417976,0.2,0.035888671875,-0.07101559638977051
40,26,1300,401.81,53248,401.81,0.0039938493,0.022217498185273143,0.004764341749250889,0.0003,250,-0.4129982742480934,-0.0024632701533846557,0.2,0.031005859375,0.02461695671081543
42,27,1298,409.72,55296,409.72,0.0011905509,0.01485744938845528,0.005122502334415913,0.0003,260,-0.39594329353421925,-0.0006837277229351457,0.2,0.025048828125,-0.02273428440093994
44,28,1297,421.06,57344,421.06,0.00337047,0.00933638491023885,-0.009731622412800789,0.0003,270,-0.38410913879051806,-0.0025426903179322836,0.2,0.059716796875,-0.0475844144821167
45,29,1297,429.6,59392,429.6,0.0016147923,0.006206527190443012,-0.00779207656159997,0.0003,280,-0.39323395332321526,-0.0007561206410173326,0.2,0.016796875,-0.044293880462646484
47,30,1296,444.61,61440,444.61,0.0021792175,0.003876926581187945,-0.0005116633838042617,0.0003,290,-0.382891702465713,-2.673493218026124e-05,0.2,0.022802734375,-0.051488518714904785
49,31,1295,454.48,63488,454.48,0.005402436,0.0029488656819239623,0.004560058005154133,0.0003,300,-0.42032069321721793,-0.0011735028099792543,0.2,0.046142578125,-0.08830082416534424
50,32,1294,461.88,65536,461.88,0.0013393001,0.0018822358014176643,-0.004333084914833307,0.0003,310,-0.39826293792575596,-0.0008327333867782727,0.2,0.01943359375,-0.042467713356018066
52,33,1293,464.77,67584,464.77,0.002806708,0.0012797367725397636,-0.003082597628235817,0.0003,320,-0.4212271715514362,-0.002824667240929557,0.2,0.042919921875,0.039610981941223145
53,34,1293,466.97,69632,466.97,0.0014821622,0.0009402775757507698,0.005681553389877081,0.0003,330,-0.3823579210788012,-0.0022718306754541118,0.2,0.035302734375,-0.049242377281188965
55,35,1288,475.75,71680,475.75,0.0063487324,0.0006130063879254521,0.015077377669513226,0.0003,340,-0.4158956004306674,-0.0021282190333295147,0.2,0.049853515625,-0.09628713130950928
57,36,1285,481.62,73728,481.62,0.004805048,0.0004229051696484021,-0.00577581487596035,0.0003,350,-0.41235052663832905,2.0437693819985725e-05,0.2,0.027978515625,-0.14839184284210205
59,37,1283,482.68,75776,482.68,0.0037405635,0.0003166647862371974,-0.0066327257081866264,0.0003,360,-0.39639678243547677,-0.0016853059198183474,0.2,0.04296875,-0.18199849128723145
