train/explained_variance,time/iterations,time/time_elapsed,train/n_updates,train/entropy_loss,time/total_timesteps,train/value_loss,train/learning_rate,time/fps,train/policy_loss,rollout/ep_rew_mean,rollout/ep_len_mean
0.9940994423814118,100,26,99,-0.08492039889097214,4000,0.00035396855673752725,0.0007,151,0.00021069809736218303,,
0.9973216953221709,200,50,199,-0.03213219717144966,8000,0.00041626454913057387,0.0007,157,7.224766159197316e-05,-84.49304950000001,1000.0
0.9916680539026856,300,73,299,-0.037518590688705444,12000,0.0017716244328767061,0.0007,162,0.012111611664295197,-84.49304950000001,1000.0
0.9879313735291362,400,98,399,-0.21521885693073273,16000,0.001837550662457943,0.0007,162,0.011277592740952969,-87.05902775,1000.0
0.467693030834198,500,122,499,-0.4333375096321106,20000,0.0014790152199566364,0.0007,163,0.007034416776150465,-87.05902775,1000.0
0.4552196264266968,600,146,599,-0.08117799460887909,24000,0.0016333619132637978,0.0007,164,0.005136298015713692,-88.98002620833331,1000.0
0.6443471908569336,700,169,699,-0.7033312916755676,28000,0.0007818110170774162,0.0007,164,0.013904801569879055,-88.98002620833331,1000.0
0.60091432929039,800,193,799,-0.806220531463623,32000,0.0010879946639761329,0.0007,165,0.028286904096603394,-90.07921284375,1000.0
0.7085416316986084,900,216,899,-0.10991193354129791,36000,0.0009908840293064713,0.0007,165,0.0005149238859303296,-90.07921284375,1000.0
0.6275361776351929,1000,240,999,-0.8874892592430115,40000,0.0010053919395431876,0.0007,166,0.026337439194321632,-90.50305885,1000.0
0.5745812952518463,1100,264,1099,-0.5941254496574402,44000,0.0008896501967683434,0.0007,166,0.014283000491559505,-90.50305885,1000.0
0.6721234023571014,1200,288,1199,-0.2271513044834137,48000,0.000940759782679379,0.0007,166,0.011564558371901512,-90.35390875,1000.0
0.9553992338478565,1300,312,1299,-0.1712745875120163,52000,0.00074752327054739,0.0007,166,0.0008155355462804437,-90.35390875,1000.0
0.9928824622184038,1400,337,1399,-0.05149991437792778,56000,0.0010681037092581391,0.0007,165,0.006553583778440952,-90.41282275,1000.0
0.807160809636116,1500,361,1499,-0.02934277057647705,60000,0.0005537628312595189,0.0007,166,-0.0035347675438970327,-90.41282275,1000.0
0.9867090480402112,1600,385,1599,-0.03501882404088974,64000,0.0004468521219678223,0.0007,166,-9.711822349345312e-05,-90.6456506875,1000.0
0.6038927137851715,1700,408,1699,-0.013477343134582043,68000,0.0007506337133236229,0.0007,166,4.034858648083173e-05,-90.6456506875,1000.0
0.6394093930721283,1800,432,1799,-0.010581149719655514,72000,0.0006380697595886886,0.0007,166,2.701722041820176e-05,-90.92086547222223,1000.0
0.7327490448951721,1900,457,1899,-0.030930060893297195,76000,0.0004238176334183663,0.0007,166,-7.972802995936945e-05,-90.92086547222223,1000.0
0.8158794492483139,2000,481,1999,-0.015662571415305138,80000,0.0002492603089194745,0.0007,166,-2.7974136173725128e-05,-91.09608287500001,1000.0
0.9977131064515561,2100,505,2099,-0.004837854765355587,84000,0.0003545008657965809,0.0007,166,8.271877049992327e-06,-91.09608287500001,1000.0
0.9689586702734232,2200,530,2199,-0.03325384855270386,88000,0.002518722787499428,0.0007,165,-0.00019910842820536345,-90.98003276136365,1000.0
0.9952984042465687,2300,554,2299,-0.18591685593128204,92000,0.0006218906491994858,0.0007,166,0.003244540421292186,-90.98003276136365,1000.0
0.9957812568172812,2400,578,2399,-0.9406458139419556,96000,0.00022902002092450857,0.0007,166,0.008388361893594265,-90.57627220833335,1000.0
0.28843849897384644,2500,601,2499,-0.33492612838745117,100000,0.00033535572583787143,0.0007,166,-0.0034459277521818876,-90.57627220833335,1000.0
