time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,train/n_updates,train/clip_range,train/learning_rate,train/entropy_loss,train/approx_kl,train/explained_variance,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/loss
1,16384,23.35,23.35,10058,1,,,,,,,,,,
9,32768,34.51,34.51,3513,2,10,0.2,0.0003,-0.6797975333407521,0.015671171,-0.0013312101364135742,14.007347237877548,0.26417236328125,-0.029168317528638,3.257709264755249
17,49152,83.93,83.93,2827,3,20,0.2,0.0003,-0.6358015715843066,0.020076573,0.39464569091796875,27.60247375331819,0.252313232421875,-0.039015188411576675,15.85175609588623
25,65536,152.41,152.41,2546,4,30,0.2,0.0003,-0.5836884408490732,0.014910104,0.3979780673980713,38.5369758374989,0.181134033203125,-0.027478695014906407,17.026216506958008
33,81920,208.35,208.35,2472,5,40,0.2,0.0003,-0.5502786992117763,0.012285339,0.6210662722587585,26.69400756880641,0.158197021484375,-0.017866523310658522,11.890637397766113
41,98304,282.97,282.97,2371,6,50,0.2,0.0003,-0.5372949568554759,0.013608844,0.8631105124950409,10.8808935996145,0.15167236328125,-0.013779496953975467,2.0531234741210938
49,114688,345.45,345.45,2312,7,60,0.2,0.0003,-0.5268285794882104,0.010883521,0.937971830368042,5.801522845902946,0.138446044921875,-0.014423520763193665,3.073669672012329
