rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/policy_loss,train/explained_variance,train/n_updates,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,train/entropy_loss,train/value_loss
-49.58790355000001,330,0.0007,0.016254711896181107,0.6592172980308533,99,51200,339.29,100,155,-0.011942416429519653,437.29876708984375
-45.21424954,647,0.0007,3.1321687856689095e-05,0.9422866813838482,199,102400,334.81,200,158,-0.0003453734389040619,90.03129577636719
-36.70599773,965,0.0007,-5.495003642863594e-05,0.9754944797605276,299,153600,325.82,300,159,-9.285782289225608e-05,14.056575775146484
